"clave_unica","zona","estado","domicilio","id_loc","ps1","ps2","ps3","ps4","ps5","ps6","ps7","vol","facturacion","mes"
"456","NORTE","SONORA","BLVD. GARCIA MORALES KM. 9.5 S/N, COL. LA MANGA C.P. 83220, 1 PISO, HERMOSILLO, SONORA, REFERENCIA: AEROPUERTO ""IGNACIO PESQUEIRA""",,"5","6.4839","0","0","1","0","0","12.4839","6491.606157","Julio"
"457","NORTE","SONORA","INTERIOR RECINTO PORTUARIO  S/N, COL. PUNTA DE ARENA C.P. 85400, 1 PISO, GUAYMAS, SONORA, REFERENCIA: ZONA FRANCA",,"4","1","0","0.2581","0","0","0","5.2581","2922.807879","Julio"
"458","NORTE","BAJA CALIFORNIA","AV. MARIANO MA LEE S/N POBLADO LOS ALGODONES S/N, COL. CENTRO C.P. 21970, UNICO PISO,  DEL.  LOS ALGODONES, MEXICALI, BAJA CALIFORNIA, REFERENCIA: GARITA LOS ALGODONES",,"0","2","0","0","0","0","0","2","935.26","Julio"
"459","NORTE","SONORA","CARRETERA FEDERAL 2 KM. 117.5 ,  ENTRE TRAMO IMURIS-CANANEA, MUNICIPIO  IMURIS, SONORA CP 84120",,"0","2","0","0","0","0","0","2","935.26","Julio"
"460","SUR","CAMPECHE","CARRETERA A CAMPECHE-CHAMPOT?N KM. 176. S/N, COL. PAYUCAN C.P. 24460, BAJA, SEYBAPLAYA, CAMPECHE, REFERENCIA: OFICINAS ADUANA A UN COSTADO DE API",,"0","2","0","0","0","0","0","2","935.26","Julio"
"461","NORTE","SINALOA","VICENTE GUERRERO 605, COL. CENTRO C.P. 81000, UNICO PISO, GUASAVE, SINALOA, REFERENCIA: ENTRE DR. DE LA TORRE Y CUAUHTEMOC",,"14","11","0","2","3","0","0","30","16099.14","Julio"
"462","NORTE","SONORA","CALLE ADOLFO LOPEZ MATEOS Y PLUTARCO ELIAS CALLES Y LINEA INTERNACIONAL. S/N, COL. CENTRO C.P. 84000, PISO UNICO, NOGALES, SONORA, REFERENCIA: GARITA 1 PUERTA DE MEXICO",,"0","1","0","0","0","0","0","1","467.63","Julio"
"463","CENTRO","AGUASCALIENTES","CHICHIMECO NO. 117 Y 119 COL. SAN LUIS. CP. 20250 AGUASCALIENTES AGS.","185","191","97.3","2","32","21.1","0","0","0","0","Septiembre"
"464","CENTRO","AGUASCALIENTES","KM 3.5 CARRETERA CHICALOTE LORETITO COLONIA EJIDO LORETITO MPIO. SAN FRANCISCO DE LOS ROMO AGUASCALIENTES C.P. 20350","392","7","14.6999","0","2","3","0","0","0","0","Septiembre"
"465","CENTRO","AGUASCALIENTES","KM. 22 CARRETERA PANAMERICANA AEROPUERTO INTERNACIONAL DE AGUASCALIENTES EJIDO DE PE?UELAS AGUASCALIENTES C.P. 20340","402","1","2.5667","0","0","0","0","0","0","0","Septiembre"
"466","CENTRO","COLIMA","BLVD. CAMINO REAL NO. 1003, COL. EL DIEZMO, C.P. 28010, COLIMA, COL.","190","142","56.3333","2","29","27","0","0","0","0","Septiembre"
"467","CENTRO","COLIMA","BLVD. MIGUEL DE LA MADRID NO. 426 INT. A6 Y A7 COL. TAPEIXTLES CP 28239 MANZANILLO COL.","199","13","15","0","8","4","0","0","0","0","Septiembre"
"468","CENTRO","COLIMA","BLVD. MIGUEL DE LA MADRID S/N ENTRADA POR LA GLORIETA DEL PEZ VELA","200","52.6333","117.1333","1","43.6","30.3334","0","1","0","0","Septiembre"
"469","CENTRO","COLIMA","AV. NI?OS HEROES S/N JUNTO A LA GLORIETA SAN PEDRITO, COLONIA SAN PEDRITO","461","0","0.5667","0","0","0","0","0","0","0","Septiembre"
"470","CENTRO","COLIMA","AV. NI?OS H?ROES S/N COLONIA SAN PEDRITO, CP 28259, MANZANILLO, COLIMA","462","0","0.5667","0","0","0","0","0","0","0","Septiembre"
"471","CENTRO","COLIMA","PUERTO INTERIOR DE LA ZONA NORTE DEL RECINTO PORTUARIO LADO PONIENTE MANZANILLO, COLINDANTE CON EL DREN INTERLAGUNAR","541","1","0","0","0","0","0","0","0","0","Septiembre"
"472","CENTRO","DISTRITO FEDERAL","CALZADA DE LA VIRGEN 2799 COL. CTM CULHUACAN DEL. COYOACAN C.P. 04480 ENTRE MARIQUITA SANCHEZ Y CATALINA BUENDIA MEXICO DF","32","68","22.6333","2","11","88.6334","0","2","0","0","Septiembre"
"473","CENTRO","DISTRITO FEDERAL","AV. CUITLAHUAC Y FERROCARRIL CENTRAL S/N COL. COSMOPOLITA C.P. 02670 DELEG. AZCAPOTZALCO MEXICO D.F.","296","85.2669","49.7996","0","4.9667","13.9667","0","0.9667","0","0","Septiembre"
"474","CENTRO","DISTRITO FEDERAL","ADUANA AICM: AV. 602 S/N,  ZONA FEDERAL, COL. PE?ON DE LOS BA?OS, DELEG. VENUSTIANO CARRANZA C.P. 15620 MEXICO D.F.","298","155.7999","105.6666","0","10.9666","24.9666","0","1.3333","0","0","Septiembre"
"475","CENTRO","DISTRITO FEDERAL","AV. SAN LORENZO 252 COL. BOSQUE RESIDENCIA DEL SUR DEL. XOCHIMILCO C.P. 16010 MEXICO D.F.","299","685.9667","316.8998","1","134.7667","128.7","0","5","0","0","Septiembre"
"476","CENTRO","DISTRITO FEDERAL","VIADUCTO RIO DE LA PIEDAD 507, COLONIA GRANJAS M?XICO, C.P. 08400, DELEGACI?N IZTACALCO, M?XICO, D.F.","301","22","1","0","3","3","0","1","0","0","Septiembre"
"477","CENTRO","DISTRITO FEDERAL","BAHIA DE SANTA BARBARA NO. 23 COL. VERONICA ANZURES DEL. MIGUEL HIDALGO C.P. 11300 ENTRE BAHIA DE SAN HIPOLITO Y BAHIA DE BALLENAS","302","586.9001","272.0333","3","102","116.1999","1","3","0","0","Septiembre"
"478","CENTRO","DISTRITO FEDERAL","MARIANO ESCOBEDO NO. 550 ESQ. COPERNICO COL. ANZURES DELEG. MIGUEL HIDALGO C.P 11590 MEX. D.F","305","1","1","0","0","2","0","0","0","0","Septiembre"
"479","CENTRO","DISTRITO FEDERAL","TERMINAL 1: AV. PILOTO AVIADOR CARLOS LEON S/N, ZONA FEDERAL, COL. PE?ON DE LOS BA?OS, DELEG. VENUSTIANO CARRANZA C.P. 15620 MEXICO D.F.","314","5","11.1334","0","1","2.8333","0","0","0","0","Septiembre"
"480","CENTRO","DISTRITO FEDERAL","CALZADA DE TLALPAN 2799 COL. EL RELOJ C.P 04640 DEL. COYOACAN MEXICO DF.","315","76","2.0333","0","2","9","0","0","0","0","Septiembre"
"481","CENTRO","DISTRITO FEDERAL","JOSE GUADALUPE COVARRUBIAS NO. 13 COL. SAN MIGUEL CHAPULTEPEC DEL. MIGUEL HIDALGO C.P. 11850 ENTRE AV. JALISCO Y GENERAL JUAN CANO","316","2","7.7668","0","0","1","0","0","0","0","Septiembre"
"482","CENTRO","DISTRITO FEDERAL","3 ERA CERRADA DE CALIZ S/N COL EL RELOJ MEXICO D.F. C.P.4640","320","48.5667","149.2996","85.9667","114.3667","296.4331","11","63","0","0","Septiembre"
"483","CENTRO","DISTRITO FEDERAL","AV. HIDALGO 77 79 Y 81 CONJUNTO HIDALGO COL. GUERRERO (MODULO 1)","321.1","96.6334","57.0001","6","6","65.2667","0","25.0667","0","0","Septiembre"
"484","CENTRO","DISTRITO FEDERAL","AV. HIDALGO 77 79 Y 81 CONJUNTO HIDALGO COL. GUERRERO (MODULO 2)","321.2","407.2","180.9999","14","175.6335","242.5666","0","20","0","0","Septiembre"
"485","CENTRO","DISTRITO FEDERAL","AV. HIDALGO 77 79 Y 81 CONJUNTO HIDALGO COL. GUERRERO (MODULO 3)","321.3","388.6671","276.3668","7","64.7334","207.9001","0","13.8667","0","0","Septiembre"
"486","CENTRO","DISTRITO FEDERAL","AV. HIDALGO 77 79 Y 81 CONJUNTO HIDALGO COL. GUERRERO (MODULO 4)","321.4","442.6335","288.4332","15","175.5335","553.0668","1","63.9333","0","0","Septiembre"
"487","CENTRO","DISTRITO FEDERAL","AV. HIDALGO 77 79 Y 81 CONJUNTO HIDALGO COL. GUERRERO (MODULO 5)","321.5","127.8333","197.4665","3","15","69.3667","0","12","0","0","Septiembre"
"488","CENTRO","DISTRITO FEDERAL","AV. HIDALGO 77 79 Y 81 CONJUNTO HIDALGO COL. GUERRERO (MODULO 6)","321.6","89.9001","129.4667","3","38.3333","153.8333","1","13.0332","0","0","Septiembre"
"489","CENTRO","DISTRITO FEDERAL","AV. HIDALGO 77 79 Y 81 CONJUNTO HIDALGO COL. GUERRERO (MODULO 7)","321.7","149.3999","66.4333","2","41.7333","174.4","5","42","0","0","Septiembre"
"490","CENTRO","DISTRITO FEDERAL","AV. HIDALGO 77 79 Y 81 CONJUNTO HIDALGO COL. GUERRERO (MODULO 8)","321.8","158.133","143.0333","1","36.2666","74.2333","0","5","0","0","Septiembre"
"491","CENTRO","DISTRITO FEDERAL","SINALOA 43 ENTRE MONTERREY Y MEDELLIN COL. ROMA C.P. 06700","322","457.0336","50.8667","0","34","174.9334","0","4","0","0","Septiembre"
"492","CENTRO","DISTRITO FEDERAL","LUCAS ALAMAN 160 ENTRE 5 DE FEBRERO Y TLALPAN COL. OBRERA C.P. 06800","323","28","70.2333","0","13","26.3333","0","0","0","0","Septiembre"
"493","CENTRO","DISTRITO FEDERAL","PARIS 15 ENTRE ESQ. CON MADRID COL. TABACALERA C.P. 06030","326","9","0","1","0","1","0","0","0","0","Septiembre"
"494","CENTRO","DISTRITO FEDERAL","CALZADA DE TLALPAN 2775 COL. EL RELOJ C.P 04640 DEL. COYOACAN MEXICO DF","327","115","76","58","20","58.9667","0","5","0","0","Septiembre"
"495","CENTRO","DISTRITO FEDERAL","CALZ. LEGARIA NO. 608 (ESQUINA PRESA LA ANGOSTURA) COL. IRRIGACION C.P. 11500 DELEG. MIGUEL HIDALGO MEXICO D.F.","328","84.4","41.6666","0","0","3","0","0","0","0","Septiembre"
"496","CENTRO","DISTRITO FEDERAL","CALLE HEROES NO 44 COL GUERRERO DELEG CUAUHTEMOC C.P 6300 MEXICO DF.","332","6.0999","2","0","1","0","0","0","0","0","Septiembre"
"497","CENTRO","DISTRITO FEDERAL","INSURGENTES SUR 1971 COL. SAN ANGEL INN DEL. COYOACAN C.P. 01060 MEXICO D.F.","333","0","0","0","0","0","0","1","0","0","Septiembre"
"498","CENTRO","DISTRITO FEDERAL","RABAUL # 350 Y NUECES COL. JARDIN AZPEITIA C.P. 02500 DELEG. AZCAPOTZALCO MEXICO D.F.","335","5","5.2666","0","0","0.8333","0","0","0","0","Septiembre"
"499","CENTRO","DISTRITO FEDERAL","FELIX CUEVAS NO. 301 COL. DEL VALLE DELG. BENITO JUAREZ C.P.03100 MEXICO DF.","336","3","31","0","0","0","0","0","0","0","Septiembre"
"500","CENTRO","DISTRITO FEDERAL","EJE 1 PTE AV. CUAUHTEMOC NO. 602 COL NARVARTE DELEGACION BENITO JUAREZ C.P. 03020.","337","49","62.6","0","1","3","0","1","0","0","Septiembre"
"501","CENTRO","DISTRITO FEDERAL","AV. TALISMAN NO.382 COL ARAGON INGUARAN DEL. GUSTAVO A. MADERO. C.P. 07820 (ENTRE EDUARDO MOLINA Y CONGRESO DE LA UNION )","339","9","4.0333","0","0","55","0","1","0","0","Septiembre"
"502","CENTRO","DISTRITO FEDERAL","TERMINAL 2: AV. FUERZA AEREA MEXICANA ESQ. CON ALBERTO SANTOS DUMONT COL. AVIACION CIVIL DELEG. VENUSTIANO C.P. 15740 MEXICO D.F","383","4.6667","6.7001","0","0","0","0","0","0","0","Septiembre"
"503","CENTRO","DISTRITO FEDERAL","SEPOMEX AICM: AV. PILOTO AVIADOR CARLOS LEON S/N, ZONA FEDERAL, COL. PE?ON DE LOS BA?OS, DELEG. VENUSTIANO CARRANZA C.P. 15620 MEXICO D.F.","385","11","6.3332","0","0","1","0","0","0","0","Septiembre"
"504","CENTRO","DISTRITO FEDERAL","AV. HIDALGO 77,79 Y 81 CONJUNTO HIDALGO, COL. GUERRERO (MODULO 4 PB)","404","0","0","1","0","0","0","0","0","0","Septiembre"
"505","CENTRO","DISTRITO FEDERAL","ORIENTE 142 No. 217 COL. MOCTEZUMA, DEL. VENUSTIANO CARRANZA CP 15530 MEXICO DF","405","10","1","0","0","2","0","0","0","0","Septiembre"
"506","CENTRO","DISTRITO FEDERAL","CALLE MICHOACAN NO. 20 COL. RENOVACION DELEGACION IZTAPALAPA ESQ. PERIFERICO ORIENTE C.P. 09209 MEXICO D.F.","492","5.6001","2.1667","0","0","1","0","0","0","0","Septiembre"
"507","CENTRO","DISTRITO FEDERAL","AV. PASEO DE LA REFORMA NORTE No. 10 COL. TABACALERA DELEG. CUAUHTEMOC CP 06030 MEXICO D.F","497","858","767.3001","7","307.9001","609.8","6","38.7","0","0","Septiembre"
"508","CENTRO","DISTRITO FEDERAL","CALZ. VALLEJO No. 658, COL. TRABAJADORES DE HIERRO, DELEG. AZCAPOTZALCO","515","6","1","0","0","2","0","0","0","0","Septiembre"
"509","CENTRO","DISTRITO FEDERAL","VIADUCTO RIO DE LA PIEDAD 507, COLONIA GRANJAS M?XICO, C.P. 08400, DELEGACI?N IZTACALCO, M?XICO, D.F.","543","682.8002","366.1999","2","241.9","214.3334","1","4","0","0","Septiembre"
"510","CENTRO","DISTRITO FEDERAL","SANTA MARIA LA RIBERA #28, COL.SANTA MARIA LA RIBERA. SANTA MARIA LA RIBERA #28 COL.SANTA MARIA LA RIBERA.","2039","1","0","0","0","1","0","0","0","0","Septiembre"
"511","CENTRO","GUANAJUATO","JUAN BAUTISTA MORALES NO. 200 COL. ZONA DE ORO I ENTRE ANDRES QUINTANA ROO Y DIEGO ARENAS GUZMAN. CP. 30820","209","183.6333","115","1","42.5","39.8333","0","1","0","0","Septiembre"
"512","CENTRO","GUANAJUATO","Boulevard Campestre #55 Col. La Florida, C.P. 37190, Le?n, Guanajuato","212","189.1002","97.7001","1","48","21","0","0","0","0","Septiembre"
"513","CENTRO","GUANAJUATO","Blvd. Villas de Irapuato No. 1596, Plaza Palmas, Ejido Irapuato, Irapuato, Gto.","213","106.2667","81.3667","2","26.5","25.8667","0","1","0","0","Septiembre"
"514","CENTRO","GUANAJUATO","JUAN DE ARREOLA NO. 568 COL. PROLONG. LA MODERNA CP 36690.","218","1","0","0","0","0","0","0","0","0","Septiembre"
"515","CENTRO","GUANAJUATO","NORTE 5 NO. 124 ESQ. PONIENTE 2 COL. CIUDAD INDUSTRIAL CELAYA GTO. C.P. 38010","222","2.9","1.8","0","0","0.2333","0","0","0","0","Septiembre"
"516","CENTRO","GUANAJUATO","AEROPUERTO INTERNACIONAL DEL BAJIO CARR. SILAO-LEON KM. 5.5 SILAO GTO.","224","6.1667","2.5667","0","0","0","0","0","0","0","Septiembre"
"517","CENTRO","GUANAJUATO","CARRETERA PANAMERICANA #45 TRAMO LEON-SILAO KM 160 + 124 MTS. EJIDO ""EL REFUGIO"" RANCHO ""SAN ISIDRO"" MUNICIPIO DE SILAO GTO. C.P. 36102","369","12.5","19.2332","0","3","4","0","1","0","0","Septiembre"
"518","CENTRO","GUANAJUATO","SOPE?A # 1 ALTOS (CASA DE MONEDA) COL. CENTRO C.P. 36000 GUANAJUATO GTO.","472","4","7","0","0","0","0","0","0","0","Septiembre"
"519","CENTRO","GUANAJUATO","AV. DE LA CONSPIRACI?N NO. 302, INTERIOR PLAZA REAL DEL CONDE, LOCALES BB04 Y BB05, ENTRE AV. REAL DEL CONDE Y AV. BOMBEROS, COL. EL DEPORTIVO C.P. 37748, SAN MIGUEL DE ALLENDE, GUANAJUATO","505","1","3","0","0","0","0","0","0","0","Septiembre"
"520","CENTRO","GUANAJUATO","LEANDRO VALLE #118 C. COM. LAS FUENTES LOC. 105, 106 Y 107 HIDALGO Y MADERO, COL.CENTRO","518","2","1","0","0","0","0","0","0","0","Septiembre"
"521","CENTRO","GUANAJUATO","LEONA VICARIO # 335 COL SAN JUAN CHIHUAHUA.","520","0","3","0","0","0","0","0","0","0","Septiembre"
"522","CENTRO","GUANAJUATO","LEONA VICARIO S/N COL SAN JUAN CHIHUAHUA CP 36744","1125","0","1","0","0","0","0","0","0","0","Septiembre"
"523","CENTRO","GUANAJUATO","AV. DE LA CONSPIRACI?N NO. 302, INTERIOR PLAZA REAL DEL CONDE, LOCALES BB04 Y BB05, ENTRE AV. REAL DEL CONDE Y AV. BOMBEROS, COL. EL DEPORTIVO C.P. 37748, SAN MIGUEL DE ALLENDE, GUANAJUATO","1129","1","1","0","0","0","0","0","0","0","Septiembre"
"524","CENTRO","GUANAJUATO","SOPE?A 1 ALTOS ENTRE JARDIN Y UNION PALACIO FEDERAL, ZONA CENTRO, CP 36000","1284","1","0","0","0","0","0","0","0","0","Septiembre"
"525","CENTRO","GUANAJUATO","CARRETERA PANAMERICANA #45 TRAMO LEON-SILAO KM 160 + 124 MTS. EJIDO ""EL REFUGIO"" RANCHO ""SAN ISIDRO"" MUNICIPIO DE SILAO GTO. C.P. 36102","2128","0","0","0","0","1","0","0","0","0","Septiembre"
"526","CENTRO","GUERRERO","INTERIOR DEL AEROPUERTO INTERNACIONAL ""TENIENTE JOSE AZUETA"" COL. AEROPUERTO C.P. 04880 ZIHUATANEJO GRO.","226","4","3.6","0","0","0","0","0","0","0","Septiembre"
"527","CENTRO","HIDALGO","CARR. MEXICO PACHUCA KM 84.5 CENTRO CIVICO SECTOR PRIMARIO COL. CARLOS ROVIROSA PACHUCA DE SOTO HGO. C.P. 42082","217","186.2002","82.8","3","35.6","40","0","1.9667","0","0","Septiembre"
"528","CENTRO","HIDALGO","CARRETERA JOROBAS-TULA KM. 9+700 ATOTONILCO DE TULA, HGO.","528","2","3","0","0","2","0","0","0","0","Septiembre"
"529","CENTRO","HIDALGO","BOULEVARD ADOLFO L?PEZ MATEOS S/N, COL AVIACI?N CIVIL, MUNICIPIO DE HUEJUTLA DE REYES HIDALGO CP. 43000","553","0","5.6001","0","0","0","0","0","0","0","Septiembre"
"530","CENTRO","HIDALGO","AV. FELIPE ANGELES S/N, ESQUINA CON INSURGENTES, COL. CENTRO, C.P. 42300 (EXPATRIMONIO)","1153","3.7667","6","0","0","0","0","0","0","0","Septiembre"
"531","CENTRO","HIDALGO","AV. JUAREZ NO 106 ESQ CON IGNACIO ZARAGOZA COL. CENTRO TULANCINGO DE BRAVO HGO. C.P. 43600","1158","8.3","5","0","0","0","0","0","0","0","Septiembre"
"532","CENTRO","HIDALGO","AV. JUAREZ SUR NO. 24 1ER. PISO COL. ATEMPA TIZAYUCA HGO. C.P. 43800","1175","4","0","0","0","0","0","0","0","0","Septiembre"
"533","CENTRO","HIDALGO","PLAZA JUAREZ  3 INTERIOR NO. 14 (PASAJE COMERCIAL) COL. CENTRO ACTOPAN HGO. C.P. 42500","1262","3","0","0","0","0","0","0","0","0","Septiembre"
"534","CENTRO","HIDALGO","AV. TULA-ITURBE No.106 COL. CENTRO ZONA COMERCIAL LOCALES 9 y 10 ENTRE MELCHOR OCAMPO Y AV. ORIENTE TULA DE ALLENDE HGO C.P. 42800","2027","9.4667","6","0","0","0","0","0","0","0","Septiembre"
"535","CENTRO","HIDALGO","PLAZA RODRIGO GOMEZ S/N (PRESIDENCIA MUNICIPAL) 1ER PISO COL. CENTRO CD. SAHAGUN HGO. C.P. 43990","2133","3","0","0","0","0","0","0","0","0","Septiembre"
"536","CENTRO","JALISCO","AEROPUERTO INTERNACIONAL MIGUEL HIDALGO KM 17.5 CARRETERA GUADALAJARA - CHAPALA COL. LAS ANIMAS CP 45659 TLAJOMULCO DE ZUÑIGA JALISCO","181","48.6669","39.6666","0","4.8333","13.1666","0","1","0","0","Septiembre"
"537","CENTRO","JALISCO","AV. AMERICAS 1221 TORRE ""A"" COL. CIRCUNVALACION AMERICAS C.P. 44620 GUADALAJARA JALISCO.","182","176.4","138.4","2","63","44.3666","1.6333","0.9667","0","0","Septiembre"
"538","CENTRO","JALISCO","AV. AMERICAS # 833, COL. JESUS GARCIA, C.P. 44656, GUADALAJARA, JALISCO","184","235.7333","154.4666","4","70","34.5667","0","0","0","0","Septiembre"
"539","CENTRO","JALISCO","AV. CENTRAL NO. 735 COL. ANEXO A RESIDENCIAL PONIENTE C.P. 45136 ZAPOPAN JALISCO","186","308.3667","187.5","2","75","101.7333","1","5","0","0","Septiembre"
"540","CENTRO","JALISCO","JOSE CLEMENTE OROZCO NO. 95 COL. CENTRO C.P. 49000 CD. GUZMAN JALISCO ENTRE CALLES DE JUAREZ Y DR. ANGEL GONZALEZ","187","64.8667","45.5333","1","2","4","0","2","0","0","Septiembre"
"541","CENTRO","JALISCO","REFORMA NO. 185 COL. CENTRO C.P. 49000 CD. GUZMAN JALISCO ENTRE CALLES COMONFORT Y MUNICIPIO LIBRE","188","36","3.1667","1","12.8667","11","0","0","0","0","Septiembre"
"542","CENTRO","JALISCO","AVENIDA FRANCISCO VILLA 1292 COLONIA LAS ARALIAS CP.48328 PUERTO VALLARTA JALISCO","193","97.8666","54.2666","2","20.2333","19.7333","1","1.2","0","0","Septiembre"
"543","CENTRO","JALISCO","INTERIOR AEROPUERTO INTERNACIONAL MIGUEL HIDALGO KM 17.5 CARRETERA GUADALAJARA-CHAPALA COL.LAS ANIMAS CP.45659 TLAJOMULCO DE ZUÑIGA JALISCO","196","3.4333","2.6","0","0","1","0","0","0","0","Septiembre"
"544","CENTRO","JALISCO","SAN MODESTO #50, COL. LA PALMA, C.P. 47425, EN EL COMPLEJO DEL EDO. DE JALISCO UNIRSE ALTOS NORTE.","198","10","3","0","5","2","0","0","0","0","Septiembre"
"545","CENTRO","JALISCO","INTERIOR AEROPUERTO INTERNACIONAL GUSTAVO DIAZ ORDAZ KM 7.5 CARRETERA PUERTO VALLARTA – TEPIC COL. VILLA LAS FLORES CP 48311 PUERTO VALLARTA JALISCO","204","2.1333","4.2666","0","0","2","0","0","0","0","Septiembre"
"546","CENTRO","JALISCO","AV. DR. ROBERTO MICHEL 1780 COL. ATLAS CP 44870 GUADALAJARA JALISCO","205","2.0334","6.5666","0","0","1","0","0","0","0","Septiembre"
"547","CENTRO","JALISCO","INDEPENDENCIA NACIONAL #75, INTERIOR 42, COL.CENTRO","516","5","6","0","0","0","0","0","0","0","Septiembre"
"548","CENTRO","JALISCO","Boulevar anacleto gonzalez flores 448, local 16 plaza los Altos","1224","2","2","0","0","0","0","0","0","0","Septiembre"
"549","CENTRO","JALISCO","AVENIDA UNIVERSIDAD #950 PLAZA SAN FELIPE. CP 47810 COL. SAN FELIPE OCOTLAN","1233","2","2","0","0","0","0","0","0","0","Septiembre"
"550","CENTRO","JALISCO","NICOLAS BRAVO # 33 COLONIA CENTRO CP 47750 ATOTONILCO JALISCO","1253","3","0","0","0","0","0","0","0","0","Septiembre"
"551","CENTRO","MEXICO","BLVD. MIGUEL ALEMAN VALDEZ S/N ESQ. AGUSTIN MILLAN COL. SAN PEDRO TOTOLTEPEC CP 50200.","297","32.8334","31.8332","0","8","8.8666","0","0.8667","0","0","Septiembre"
"552","CENTRO","MEXICO","BOULEVARD TOLUCA-METEPEC 719 NORTE (ANTES 505 NORTE), COLONIA LAS JARAS, SECTOR ARCE, C.P. 52160, METEPEC, M?XICO.","303","190.3003","135","3","65.0667","44.5667","0","0","0","0","Septiembre"
"553","CENTRO","MEXICO","AV. SOR JUANA INES DE LA CRUZ NO. 22 COL. CENTRO TLALNEPANTLA DE BAZ EDO DE MEXICO C.P. 54000","304","632.5","240.7998","4","187.3333","104.9","0","6","0","0","Septiembre"
"554","CENTRO","MEXICO","16 DE SEPTIEMBRE NO. 784 COL. ALCE BLANCO NAUCALPAN EDO. MEX.","307","34","45.4333","0","1","1","0","0","0","0","Septiembre"
"555","CENTRO","MEXICO","CALLE NEZAHUALCOYOTL No.14 CO. CENTRO TEXCOCO C.P.56100","308","4","23.5667","0","0","0","0","0","0","0","Septiembre"
"556","CENTRO","MEXICO","AV. SOR JUANA INES DE LA CRUZ NO. 100 ESQ. INDIO TRISTE COL. METROPOLITANA 2A. SECCION NEZAHUALCOYOLT MEX C.P. 55730","309","22.9334","35.0004","0","0","2","0","0","0","0","Septiembre"
"557","CENTRO","MEXICO","TEMOAYA , S/N , PLANTA BAJA, ESQ. CON 1 DE MAYO COL. CENTRO C.P. 54740","312","21","33.5667","0","0","0","0","0","0","0","Septiembre"
"558","CENTRO","MEXICO","AEROPUERTO DE TOLUCA BLVD. MIGUEL ALEMAN VALDEZ S/N COL. SAN PEDRO TOTOLTEPEC CP 50200.","318","5","5.6","0","0","0.1","0","0","0","0","Septiembre"
"559","CENTRO","MEXICO","ARIES S/N COL. FRACCIONAMIENTO V SAN VICENTE CHICOLOAPAN C.P. 56370 ESTADO DE MEXICO","334","0","1.6999","0","1","2","0","0","0","0","Septiembre"
"560","CENTRO","MEXICO","AV. CARLOS HANK GONZALEZ NO. 50 1ER. PISO COL. VALLE ANAHUAC ECATEPEC ESTADO DE MEXICO C.P. 55210","351","22","14.5334","0","3","3","0","0","0","0","Septiembre"
"561","CENTRO","MEXICO","CARR. TOLUCA - ATLACOMULCO KM 15.5 COL. SAN CAYETANO MORELOS CP 50210.","391","1","3.6","0","0","0","0","0","0","0","Septiembre"
"562","CENTRO","MEXICO","CALLE ING. LUIS GALINGO RUIZ S/N ESQUINA PRESIDENTE ADOLFO LOPEZ MATEOS COL. FOVISSSTE C. P. 50450 ATLACOMULCO ESTADO DE MEXICO","512","0","1","0","0","0","0","0","0","0","Septiembre"
"563","CENTRO","MEXICO","AVENIDA MORELOS NUMERO 304 ESQUINA ABASOLO TERCER PISO COLONIA CENTRO C. P. 52400 TENANCINGO ESTADO DE MEXICO.","1092","1","0","0","0","0","0","0","0","0","Septiembre"
"564","CENTRO","MICHOACAN","ABASOLO # 282, COL. CENTRO, C.P. 58000,  MORELIA, MICHOACAN, ENTRE ALDAMA Y CORREGIDORA","214","192.4666","75.6333","2","38","37.7","0","0","0","0","Septiembre"
"565","CENTRO","MICHOACAN","AV. OCAMPO NO. 2 COL. CENTRO C.P. 60000 URUAPAN MICH.","215","52.1334","50.6","2","3","8","0","0","0","0","Septiembre"
"566","CENTRO","MICHOACAN","PINO SUAREZ NO. 85 COL. BARRIO DE SANTIAGO C.P. 60030 URUAPAN MICH.","216","52","4.5667","0","20","19","0","0","0","0","Septiembre"
"567","CENTRO","MICHOACAN","AV. 5 DE MAYO SUR NO. 643 COL. EL DUERO C.P. 59610 ZAMORA MICH.","219","8.3","9","0","14","8","0","0","0","0","Septiembre"
"568","CENTRO","MICHOACAN","AV. LIBRAMIENTO SUR NO. 3970 COL. EXHACIENDA SAN JOSE DE LA HUERTA C.P. 58087 MORELIA MICH.","223","0","0","0","0","1","0","0","0","0","Septiembre"
"569","CENTRO","MICHOACAN","AV. MORELOS NO. 27 COL. ZONA INDUSTRIAL C.P. 60950 LAZARO CARDENAS MICH.","340","5","7","0","1","1","0","0","0","0","Septiembre"
"570","CENTRO","MICHOACAN","KM. 27.5 CARRETERA MORELIA-ZINAPECUARO AEROPUERTO INTERNACIONAL FCO. J. MUJICA C.P. 58920 ALVARO OBREGON MICH.","379","2","1.6","0","0","1","0","0","0","0","Septiembre"
"571","CENTRO","MICHOACAN","INTERIOR RECINTO PORTUARIO DE LA ISLA CAYACAL S/N, TERMINAL DE CONTENEDORES","400","10.1667","19.2666","0","0","0","0","0","0","0","Septiembre"
"572","CENTRO","MICHOACAN","DOMICILIO CONOCIDO INT. DEL RECINTO PORTUARIO ISLA CAYACAL C.P 60950 LAZARO CARDENAS MICH.","496","46.4334","29.4667","0","8","7.9667","0","0.0667","0","0","Septiembre"
"573","CENTRO","MICHOACAN","FRANCISCO J. MUJICA NO. 27 INT. 12 COL. CENTRO C.P. 60600 APATZINGAN MICH.","514","2.5","0","0","1","0","0","0","0","0","Septiembre"
